id,val,len,dec,dt,spd,rd
500,F,8.8,QzTLoPsA1e,11/15/2025,,v=F;i=500;l=8.8;s=241
501,T,10.8,FdyjCsbZkU,9/6/2025,64,s=64;v=T;l=10.8;i=501
502,T,8.8,e6QWjwTUwt,10/12/2025,227,i=502;l=8.8;s=227;v=T
503,T,7.6,01pwTOuEuu,11/5/2025,162,i=503;v=T;s=162;l=7.6
504,T,7.4,FGrE7YmedD,12/13/2025,219,v=T;s=219;l=7.4;i=504
505,F,6.3,hbMvNj2Bzx,10/4/2025,75,l=6.3;i=505;v=F;s=75
506,T,10,nzosFIZuan,12/3/2025,4,l=10.0;i=506;s=4;v=T
507,T,6.3,0GVoWBYbXP,8/9/2025,117,i=507;l=6.3;v=T;s=117
508,T,10.3,TtYSKJOdvW,10/25/2025,145,v=T;i=508;s=145;l=10.3
509,T,8.5,oG54JwT91L,7/20/2025,101,s=101;l=8.5;i=509;v=T
510,T,8.3,4HFDiJKsfR,10/20/2025,110,v=T;l=8.3;s=110;i=510
511,F,10.4,ae0TqSU1qa,9/5/2025,122,s=122;i=511;l=10.4;v=F
512,T,7,6uX2EoTcJW,12/24/2025,74,i=512;s=74;v=T;l=7.0
513,F,6.9,0iijCbEfyp,8/20/2025,117,v=F;i=513;s=117;l=6.9
514,F,10.2,muuJIBSsP7,8/11/2025,181,l=10.2;i=514;v=F;s=181
515,F,7.9,QCO3EyVqd4,10/26/2025,2,l=7.9;i=515;v=F;s=2
516,F,5.5,NGXF7L90Pj,11/4/2025,218,v=F;l=5.5;i=516;s=218
517,T,6,pQj2wrnkNF,10/8/2025,177,v=T;s=177;i=517;l=6.0
518,F,5.7,PmTdjw5n1n,12/11/2025,28,i=518;v=F;s=28;l=5.7
519,T,7.3,Uf28I0ctDs,11/29/2025,115,l=7.3;v=T;i=519;s=115
520,F,9.9,nttskvn8nm,7/9/2025,20,v=F;l=9.9;s=20;i=520
521,T,7.2,UENqGHKeYR,6/21/2025,215,v=T;i=521;s=215;l=7.2
522,T,8.1,rczhjST0RH,1/2/2026,25,l=8.1;s=25;i=522;v=T
523,T,10.8,sBIUPFvgaH,9/12/2025,196,v=T;s=196;l=10.8;i=523
524,T,8.1,uAEbeL9uzY,8/7/2025,96,v=T;i=524;l=8.1;s=96
525,F,8.8,65vC2M0cJk,12/12/2025,132,s=132;v=F;l=8.8;i=525
526,F,8.3,hAYpVtIcbH,12/22/2025,33,v=F;s=33;i=526;l=8.3
527,F,8.5,WMutyMylaF,8/23/2025,142,s=142;v=F;l=8.5;i=527
528,T,9.2,afXRNStay3,11/24/2025,42,i=528;l=9.2;s=42;v=T
529,F,6.2,iDbDF2wXj4,10/14/2025,19,s=19;i=529;l=6.2;v=F
530,T,6.8,WAWawkYkRd,12/31/2025,117,l=6.8;s=117;v=T;i=530
531,F,9.9,LKcEUiOK0x,9/17/2025,51,l=9.9;i=531;v=F;s=51
532,T,7.6,0g25yNRfov,1/1/2026,166,l=7.6;v=T;i=532;s=166
533,T,8.3,Z3Xom3HrJv,6/26/2025,72,s=72;l=8.3;v=T;i=533
534,T,7,QBxH9RA769,9/23/2025,218,s=218;v=T;i=534;l=7.0
535,T,5.6,vQQmaeofKx,10/10/2025,138,v=T;l=5.6;i=535;s=138
536,T,9.9,r5t6gnD9Fg,6/23/2025,180,v=T;i=536;l=9.9;s=180
537,T,10.5,I39OkkxY0t,12/19/2025,214,s=214;l=10.5;i=537;v=T
538,T,9.7,nHRbFBJiR9,7/21/2025,12,s=12;v=T;i=538;l=9.7
539,T,8.5,V6R3oCoYLy,8/2/2025,224,l=8.5;s=224;v=T;i=539
540,T,10,fgyyDNqfJt,11/6/2025,241,v=T;i=540;l=10.0;s=241
541,F,9.4,9ue6LcHjHB,11/16/2025,21,v=F;i=541;s=21;l=9.4
542,T,9.7,QxebJlUcLT,11/30/2025,4,s=4;l=9.7;v=T;i=542
543,F,7.7,qxXr3ApPX1,8/21/2025,44,i=543;s=44;v=F;l=7.7
544,F,10.1,FOA0x6y6Bm,12/18/2025,78,s=78;l=10.1;i=544;v=F
545,T,8.5,kuW5Ab5ZWS,7/4/2025,1,v=T;i=545;l=8.5;s=1
546,F,6.4,GrxVGTAAo1,9/25/2025,58,i=546;s=58;l=6.4;v=F
547,F,8.6,OSAblsfY0V,6/20/2025,159,s=159;l=8.6;i=547;v=F
548,T,10.1,OSmTxgvuLJ,8/29/2025,25,i=548;s=25;v=T;l=10.1
549,T,7.9,mzCZyeI7sL,7/31/2025,245,v=T;i=549;s=245;l=7.9
550,F,8.4,0BC5PPjX3G,10/8/2025,191,s=191;l=8.4;i=550;v=F
551,F,10.2,AT77kwy5Br,12/19/2025,28,i=551;v=F;s=28;l=10.2
552,F,6.9,Svn0nYTNeB,8/26/2025,39,l=6.9;s=39;v=F;i=552
553,F,6.2,hhOXHOlabg,8/26/2025,227,i=553;s=227;l=6.2;v=F
554,F,7.1,w7TEF2LP72,7/4/2025,130,v=F;l=7.1;i=554;s=130
555,F,9.6,iAe2eAhdM9,8/1/2025,49,v=F;l=9.6;i=555;s=49
556,F,7.2,h9I8ljR9QK,12/26/2025,214,v=F;l=7.2;i=556;s=214
557,T,6.2,Bta0sA9dYZ,9/5/2025,208,s=208;v=T;i=557;l=6.2
558,F,8.6,5icSdeGQwp,8/27/2025,198,l=8.6;s=198;i=558;v=F
559,T,9.1,m1zfqA5D8F,11/5/2025,125,i=559;l=9.1;s=125;v=T
560,T,10.1,SpZYLaQWaZ,9/11/2025,82,v=T;i=560;s=82;l=10.1
561,T,5.9,JRmC6XKlxi,12/8/2025,15,i=561;l=5.9;s=15;v=T
562,F,10.6,fgx7gP5Wn6,9/16/2025,112,s=112;l=10.6;v=F;i=562
563,T,7.9,cmpnSDzKCl,6/23/2025,18,s=18;l=7.9;i=563;v=T
564,T,8.7,1hPWqrqsji,9/28/2025,179,v=T;i=564;l=8.7;s=179
565,F,9.8,5Gqi6nb4kp,8/28/2025,108,s=108;l=9.8;v=F;i=565
566,T,9.2,ggyTIR0gCf,8/19/2025,219,s=219;i=566;l=9.2;v=T
567,T,9.1,887pUdTBtz,11/3/2025,194,s=194;v=T;l=9.1;i=567
568,F,9.6,9XwseRJJ23,11/9/2025,156,v=F;s=156;l=9.6;i=568
569,T,7,P5uK5KFKgt,9/30/2025,88,s=88;l=7.0;v=T;i=569
570,T,5.6,XuNyd157zn,8/23/2025,231,s=231;l=5.6;i=570;v=T
571,T,7.1,21FibmU0oS,12/26/2025,128,v=T;l=7.1;s=128;i=571
572,T,9,RFPUYiMKCE,7/12/2025,233,v=T;i=572;l=9.0;s=233
573,T,6,BPwMvHeFUP,9/4/2025,52,l=6.0;i=573;s=52;v=T
574,T,7.9,DIHmYy4IpY,8/21/2025,10,i=574;s=10;l=7.9;v=T
575,T,8,tLt9K1JY94,8/20/2025,114,i=575;v=T;s=114;l=8.0
576,T,8.4,ZQmqyavsrw,9/11/2025,83,i=576;v=T;s=83;l=8.4
577,F,10.1,PfIMp6VFHz,12/10/2025,241,l=10.1;v=F;i=577;s=241
578,F,5.8,6eSBCoXzeo,9/17/2025,95,s=95;i=578;v=F;l=5.8
579,F,7.8,0WzuKcuBri,9/21/2025,86,s=86;i=579;l=7.8;v=F
580,F,5.7,kINPMIugwO,7/26/2025,225,s=225;i=580;l=5.7;v=F
581,F,7.5,jLVNNUgrmN,10/12/2025,230,v=F;s=230;l=7.5;i=581
582,T,5.8,pYMxnYolfd,8/29/2025,186,l=5.8;v=T;i=582;s=186
583,T,6.2,XLw7OOvgVD,11/17/2025,25,s=25;v=T;i=583;l=6.2
584,F,6.3,qpW8VXYLYq,9/30/2025,108,s=108;l=6.3;v=F;i=584
585,F,8.2,1sEfJo5ypL,12/23/2025,144,l=8.2;v=F;s=144;i=585
586,F,6.4,YWOaE9xUJc,6/21/2025,224,s=224;i=586;v=F;l=6.4
587,T,7.5,nuHcKkpze4,7/1/2025,15,l=7.5;i=587;v=T;s=15
588,F,8.9,GdWgy0N8zK,11/25/2025,163,l=8.9;s=163;v=F;i=588
589,F,8.7,HU4XhHKlCK,11/22/2025,186,l=8.7;s=186;v=F;i=589
590,F,8.3,P3aPrd7V8d,9/8/2025,151,l=8.3;i=590;s=151;v=F
591,T,8.8,FL14OSi3kb,10/5/2025,92,i=591;l=8.8;v=T;s=92
592,F,7.5,0z17OLxgLD,7/22/2025,89,v=F;i=592;s=89;l=7.5
593,T,10.1,RY5KKt39Qo,9/14/2025,143,l=10.1;i=593;v=T;s=143
594,F,10,zd4pltFhLJ,6/27/2025,235,i=594;s=235;l=10.0;v=F
595,F,10.2,BmQbPgno4J,12/1/2025,248,l=10.2;i=595;s=248;v=F
596,F,9.8,scxKdnmhRl,11/5/2025,45,v=F;s=45;l=9.8;i=596
597,T,9.5,Ro1uCyo9CH,9/22/2025,203,l=9.5;v=T;i=597;s=203
598,T,6.7,czXc4XT4D7,11/10/2025,45,l=6.7;s=45;v=T;i=598
599,F,5.6,7ER3RVZBAU,10/6/2025,25,s=25;l=5.6;v=F;i=599
600,T,10.4,dhrZqTpOyP,10/10/2025,60,l=10.4;s=60;i=600;v=T
601,F,8.5,owcFHU1Sjr,11/12/2025,11,s=11;l=8.5;v=F;i=601
602,F,8.2,UoDBXTsaLf,12/4/2025,19,v=F;l=8.2;i=602;s=19
603,T,8.7,h2RkLcGxLY,12/4/2025,132,i=603;l=8.7;v=T;s=132
604,T,8.8,fQkvvw1vqz,9/4/2025,86,l=8.8;i=604;s=86;v=T
605,F,9.8,pjRdSQ8fVK,11/14/2025,9,s=9;v=F;l=9.8;i=605
606,T,6,BJadCWQCXu,8/10/2025,177,l=6.0;i=606;v=T;s=177
607,F,8.9,FIcTmqBiPZ,7/3/2025,156,v=F;s=156;l=8.9;i=607
608,T,7.4,HtSIfD7vdr,11/1/2025,137,v=T;l=7.4;i=608;s=137
609,F,6.2,GbRDzJARgD,9/16/2025,195,s=195;i=609;v=F;l=6.2
610,F,6.9,w265eilu1n,9/6/2025,84,s=84;i=610;l=6.9;v=F
611,T,10.6,uuHjczpHCm,1/4/2026,69,l=10.6;i=611;s=69;v=T
612,T,9.1,PiVsGpZQF9,8/24/2025,118,i=612;s=118;l=9.1;v=T
613,T,5.7,QPJAZDXDSs,10/18/2025,120,v=T;l=5.7;i=613;s=120
614,T,6,dFmnvBwZzo,11/1/2025,229,i=614;l=6.0;v=T;s=229
615,F,9.1,PbtQJU9hqT,12/13/2025,134,v=F;i=615;s=134;l=9.1
616,F,6.5,64S6EddobF,10/10/2025,2,l=6.5;s=2;i=616;v=F
617,T,7.5,5VBuiWSDR3,12/21/2025,11,i=617;l=7.5;s=11;v=T
618,F,9.3,vB6ggSYUxj,12/21/2025,22,s=22;v=F;i=618;l=9.3
619,F,10.7,0TaO67A5W9,10/21/2025,173,v=F;i=619;s=173;l=10.7
620,F,7.8,t7KMNvTpgZ,10/18/2025,129,i=620;v=F;l=7.8;s=129
621,T,6.3,yIsdCc5ZJG,10/29/2025,71,v=T;l=6.3;s=71;i=621
622,T,5.8,kTSF2THiRe,1/2/2026,213,l=5.8;s=213;i=622;v=T
623,T,8.2,MR5HDTNVKF,8/21/2025,25,s=25;l=8.2;v=T;i=623
624,F,8.8,7YuuqkwzkV,7/3/2025,234,l=8.8;s=234;v=F;i=624
625,F,8.6,MTKEFdTS0S,11/10/2025,57,v=F;s=57;l=8.6;i=625
626,F,9.8,W2gj5RIeAg,12/4/2025,188,l=9.8;i=626;v=F;s=188
627,F,7,FIIUbHk9Mh,9/19/2025,181,s=181;i=627;v=F;l=7.0
628,F,6.5,F6staiXlB2,11/8/2025,236,l=6.5;i=628;v=F;s=236
629,F,7.7,dnptVMYzth,9/5/2025,190,l=7.7;s=190;v=F;i=629
630,T,9.8,NbLAZOUavb,8/10/2025,64,s=64;v=T;i=630;l=9.8
631,T,9.1,s0owct8cMX,12/13/2025,50,v=T;l=9.1;s=50;i=631
632,F,8.9,XMNBXcs2gq,9/4/2025,61,v=F;i=632;l=8.9;s=61
633,F,9.5,zJg2xZrGb1,8/21/2025,111,s=111;v=F;l=9.5;i=633
634,T,5.6,1rlINwowGW,6/25/2025,136,v=T;l=5.6;i=634;s=136
635,F,10.9,mXUXgIBPpj,9/9/2025,83,l=10.9;s=83;i=635;v=F
636,T,9.8,KHvYoiOvMX,9/20/2025,196,i=636;s=196;v=T;l=9.8
637,T,7,zjeYmkSKkd,9/27/2025,239,l=7.0;v=T;i=637;s=239
638,F,8.3,OBrhzXgmrW,10/2/2025,134,s=134;l=8.3;i=638;v=F
639,F,6.7,o5uc4pbaxt,9/12/2025,207,i=639;v=F;s=207;l=6.7
640,T,10.6,sd0LZet3Oi,8/10/2025,141,i=640;v=T;s=141;l=10.6
641,F,10.2,PfpUeVK0FJ,10/12/2025,172,i=641;v=F;l=10.2;s=172
642,T,10.1,VzO3bGDqE8,11/15/2025,174,l=10.1;v=T;s=174;i=642
643,T,9.4,aBljTAHjpJ,10/16/2025,46,l=9.4;i=643;v=T;s=46
644,F,6.9,GpBSMuLkyY,9/1/2025,152,v=F;s=152;i=644;l=6.9
645,T,10.2,wQgsyOuCD8,12/24/2025,43,l=10.2;s=43;i=645;v=T
646,F,8.5,Exmm4nOh1V,12/20/2025,182,s=182;v=F;i=646;l=8.5
647,F,6.1,7AYXMcy5tV,8/22/2025,30,s=30;l=6.1;v=F;i=647
648,T,10.1,JYLDaCu4Wz,8/5/2025,6,l=10.1;s=6;i=648;v=T
649,T,9.2,Kwi3V0YohJ,10/30/2025,142,v=T;l=9.2;i=649;s=142
650,F,10.3,ZN4XWYMXu6,11/1/2025,200,i=650;v=F;l=10.3;s=200
651,T,5.8,S5TNU8NQ54,6/25/2025,53,i=651;s=53;l=5.8;v=T
652,T,5.9,jIDcfuSGcK,9/19/2025,141,v=T;i=652;l=5.9;s=141
653,T,8.5,bmOkA1vxvj,10/2/2025,215,s=215;l=8.5;i=653;v=T
654,F,9.7,qUrUaaLZ8I,8/14/2025,234,i=654;v=F;s=234;l=9.7
655,T,8.6,YlSvSF2m2Q,12/10/2025,13,v=T;l=8.6;i=655;s=13
656,F,7.3,dUv6Tq1b3W,8/7/2025,235,v=F;s=235;l=7.3;i=656
657,T,10,kmXM4nqYiZ,10/5/2025,100,s=100;v=T;l=10.0;i=657
658,T,9.9,zKBBv1eaFC,10/5/2025,210,v=T;s=210;l=9.9;i=658
659,F,6.7,iLEQnAUCli,12/25/2025,125,l=6.7;v=F;s=125;i=659
660,T,6.1,L9FGX2x256,8/17/2025,134,v=T;i=660;l=6.1;s=134
661,T,9,U5iFBzKQDM,8/23/2025,146,s=146;v=T;i=661;l=9.0
662,F,9.2,g1Dd1v0Xeq,7/17/2025,250,v=F;s=250;l=9.2;i=662
663,F,9,3xO646pFEj,6/29/2025,232,i=663;s=232;v=F;l=9.0
664,F,8.2,SRVyolfPZ2,7/8/2025,199,l=8.2;s=199;v=F;i=664
665,T,9.8,pQPSHvrQL1,12/13/2025,47,l=9.8;i=665;v=T;s=47
666,F,9.4,YqP9PEqlgU,7/18/2025,9,v=F;i=666;l=9.4;s=9
667,F,8.3,6oNCzpozav,10/21/2025,125,s=125;l=8.3;i=667;v=F
668,F,6.9,VMwhKgjzXz,6/24/2025,204,i=668;v=F;s=204;l=6.9
669,F,7.5,2DjqDJMNWp,8/22/2025,150,i=669;v=F;l=7.5;s=150
670,T,9.2,BbZ74PhpQw,9/16/2025,25,i=670;l=9.2;s=25;v=T
671,F,6.2,9exYkcN1KZ,12/6/2025,19,i=671;l=6.2;s=19;v=F
672,F,9.1,kNpRyVDfal,6/25/2025,63,s=63;l=9.1;i=672;v=F
673,F,9.6,upmf1TkAWy,9/24/2025,102,s=102;l=9.6;i=673;v=F
674,T,7,012GgHMU5C,9/8/2025,244,s=244;i=674;l=7.0;v=T
675,F,6.7,ed9IDx9c4Z,12/3/2025,157,i=675;v=F;l=6.7;s=157
676,T,10.1,h4nQ69LZNU,9/14/2025,203,s=203;v=T;l=10.1;i=676
677,F,10.6,2SQ67KAPXk,11/11/2025,80,i=677;v=F;s=80;l=10.6
678,F,6.6,Q0Ej8yRYfE,7/20/2025,32,v=F;i=678;s=32;l=6.6
679,T,10.6,hQ5JHfDCzx,8/17/2025,51,i=679;v=T;s=51;l=10.6
680,T,,3B4EcZXoxy,9/21/2025,169,i=680;v=T;s=169;l=9.8
681,T,10.1,9DsDdK46kz,10/18/2025,149,l=10.1;v=T;s=149;i=681
682,T,8.7,d89Y41mDJy,12/28/2025,42,l=8.7;s=42;v=T;i=682
683,F,6.3,7QtcHvXuyI,10/19/2025,121,v=F;l=6.3;s=121;i=683
684,T,7.9,A70jTlsovd,9/22/2025,179,l=7.9;v=T;i=684;s=179
685,F,9.1,IPuAuwKdop,8/22/2025,66,i=685;s=66;v=F;l=9.1
686,T,6.7,OOw5Ep6kbE,8/26/2025,174,s=174;l=6.7;v=T;i=686
687,T,8.8,uEvbBv8iWv,10/6/2025,77,v=T;l=8.8;i=687;s=77
688,F,10,r5zE8WXFAr,7/1/2025,226,l=10.0;i=688;s=226;v=F
689,T,8.7,lLcyu1CO9L,9/10/2025,171,s=171;i=689;l=8.7;v=T
690,F,9,aozcwV0Ek5,10/19/2025,103,s=103;v=F;l=9.0;i=690
691,T,7.3,y0tWUobKun,10/18/2025,175,i=691;s=175;v=T;l=7.3
692,F,6.8,3V08ozSsB3,11/6/2025,90,i=692;s=90;l=6.8;v=F
693,T,7.4,EFXVoXhtXu,11/12/2025,218,s=218;l=7.4;i=693;v=T
694,F,8,xhz7rPcgKj,12/1/2025,168,i=694;l=8.0;s=168;v=F
695,T,10.5,TRWjvhMYga,11/18/2025,236,i=695;l=10.5;s=236;v=T
696,T,8.3,WAWe79vSHl,11/16/2025,115,v=T;i=696;l=8.3;s=115
697,T,8.6,GOb7eSF0VS,11/17/2025,194,v=T;l=8.6;i=697;s=194
698,T,8.2,9KuTUMvAy1,8/15/2025,225,l=8.2;v=T;s=225;i=698
699,F,8.2,OmofOOkIAH,7/28/2025,160,i=699;v=F;s=160;l=8.2
700,T,9.5,dqm2TPt7EW,9/16/2025,,l=9.5;s=185;i=700;v=T
701,F,5.5,w86lNl8MRR,12/18/2025,212,v=F;l=5.5;i=701;s=212
702,T,5.7,OdGQTczQjm,10/21/2025,74,i=702;l=5.7;v=T;s=74
703,F,6.8,WB3bge3oQh,7/3/2025,188,l=6.8;v=F;s=188;i=703
704,T,9.1,lzCca0lqVS,11/9/2025,93,l=9.1;v=T;s=93;i=704
705,T,10.6,5hkvIZi4kR,7/9/2025,168,s=168;l=10.6;v=T;i=705
706,F,10.6,XKwTXqTDlp,9/7/2025,175,s=175;l=10.6;v=F;i=706
707,T,9.9,G2TgYJSlSt,12/28/2025,123,s=123;l=9.9;i=707;v=T
708,T,7.6,6jmcX1YeUO,1/1/2026,6,l=7.6;v=T;i=708;s=6
709,F,10.1,qzlWhrxw2X,9/25/2025,130,l=10.1;v=F;i=709;s=130
710,T,6.1,QtRxn2N9r5,10/15/2025,16,v=T;l=6.1;i=710;s=16
711,F,7.5,YnzY4KHQpJ,10/22/2025,69,s=69;i=711;l=7.5;v=F
712,F,7.1,vduCyaLzHU,12/10/2025,37,v=F;i=712;l=7.1;s=37
713,T,6.6,iIecx4esDH,7/6/2025,114,s=114;i=713;v=T;l=6.6
714,F,7.5,xyL4KC2BNp,10/6/2025,13,v=F;l=7.5;s=13;i=714
715,F,10.7,HNiYpl7AoD,9/30/2025,156,s=156;v=F;l=10.7;i=715
716,F,10.5,muAxH2YDQY,1/3/2026,1,i=716;s=1;l=10.5;v=F
717,T,8,ay5l8cDe3i,7/30/2025,151,i=717;l=8.0;v=T;s=151
718,T,9.5,T5Qhwgs0rS,7/29/2025,172,s=172;l=9.5;i=718;v=T
719,F,7.7,snvEvyYsU6,9/24/2025,53,v=F;i=719;s=53;l=7.7
720,T,10.5,XIGiQVKKdC,11/18/2025,59,i=720;l=10.5;v=T;s=59
721,T,6.8,gqYJ7svROs,12/2/2025,64,s=64;i=721;l=6.8;v=T
722,F,10.7,59nBe0SSRz,9/4/2025,199,v=F;s=199;i=722;l=10.7
723,F,5.8,vhhndPH5Ye,7/9/2025,95,v=F;i=723;s=95;l=5.8
724,F,9.2,73KIKVdVDW,10/20/2025,65,l=9.2;i=724;s=65;v=F
725,T,10.3,W7s82cMiZK,8/9/2025,52,v=T;s=52;i=725;l=10.3
726,F,9.5,rrOyIzzW3c,7/1/2025,111,v=F;l=9.5;s=111;i=726
727,F,6.9,4AQ54m24MT,9/8/2025,155,l=6.9;s=155;i=727;v=F
728,F,9.1,xuWjw1KJd5,7/25/2025,35,s=35;l=9.1;v=F;i=728
729,F,8.6,id5QO7IprZ,7/16/2025,74,l=8.6;v=F;s=74;i=729
730,T,10.4,74wp1TLnHT,12/25/2025,124,l=10.4;i=730;v=T;s=124
731,T,7.6,juCGtEjUir,9/8/2025,155,l=7.6;i=731;v=T;s=155
732,F,10.2,Gv0Vzj7c1I,9/30/2025,7,s=7;v=F;l=10.2;i=732
733,F,7,F2tqjv4sy2,10/27/2025,11,v=F;i=733;s=11;l=7.0
734,T,9,MqM1aHTIH1,9/3/2025,149,v=T;l=9.0;s=149;i=734
735,T,8.5,Ji4RYZlX6e,9/8/2025,28,l=8.5;v=T;s=28;i=735
736,F,9.1,YMZxVbmRvK,6/24/2025,213,s=213;v=F;i=736;l=9.1
737,F,5.5,deVinYIhB3,11/19/2025,215,s=215;l=5.5;v=F;i=737
738,T,6.8,J9zZJO97nS,8/19/2025,192,l=6.8;v=T;s=192;i=738
739,T,10.4,kOhmjphNTL,11/3/2025,177,l=10.4;v=T;i=739;s=177
740,F,10.5,6BCPD1bM4F,12/15/2025,51,v=F;i=740;l=10.5;s=51
741,F,10.4,ebJCiA9vDs,8/1/2025,59,l=10.4;v=F;i=741;s=59
742,T,6.8,uzJPxnY3G2,9/12/2025,17,i=742;s=17;v=T;l=6.8
743,F,7.2,BsW85N2oww,12/6/2025,227,s=227;l=7.2;i=743;v=F
744,F,10.2,IGfr3riUbN,10/6/2025,92,l=10.2;v=F;i=744;s=92
745,T,9.4,bUv5xw4q7J,6/22/2025,34,s=34;l=9.4;i=745;v=T
746,F,7,JQqIRP3wAz,11/7/2025,151,v=F;s=151;l=7.0;i=746
747,T,5.5,v2QeqXFG88,7/23/2025,186,s=186;v=T;l=5.5;i=747
748,F,7.7,VSEYkdwXwy,9/14/2025,28,s=28;v=F;l=7.7;i=748
749,T,8.1,ZfueC4KbOC,8/24/2025,218,l=8.1;v=T;s=218;i=749
